"filename", "language", "Vue", "JavaScript", "SCSS", "comment", "blank", "total"
"c:\Users\ohs90430\Documents\GitHub\misoten\src\App.vue", "Vue", 296, 0, 0, 19, 15, 330
"c:\Users\ohs90430\Documents\GitHub\misoten\src\NewFile.vue", "Vue", 24, 0, 0, 0, 8, 32
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\NewFile.vue", "Vue", 24, 0, 0, 0, 7, 31
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\MainMenu.vue", "Vue", 164, 0, 0, 5, 18, 187
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\Snackbar.vue", "Vue", 89, 0, 0, 0, 9, 98
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\UserMenu.vue", "Vue", 221, 0, 0, 10, 16, 247
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Button.vue", "Vue", 138, 0, 0, 1, 10, 149
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Datepicker.vue", "Vue", 138, 0, 0, 4, 10, 152
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Dialog.vue", "Vue", 183, 0, 0, 8, 16, 207
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\DropZone.vue", "Vue", 170, 0, 0, 11, 22, 203
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\ErrorMessage.vue", "Vue", 36, 0, 0, 0, 5, 41
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\FloatButton.vue", "Vue", 101, 0, 0, 2, 9, 112
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\FormGroup.vue", "Vue", 31, 0, 0, 1, 6, 38
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\FormGroupSample.vue", "Vue", 43, 0, 0, 0, 5, 48
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Header.vue", "Vue", 79, 0, 0, 4, 8, 91
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\InputIcon.vue", "Vue", 96, 0, 0, 5, 8, 109
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\RadioButton.vue", "Vue", 101, 0, 0, 0, 6, 107
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\SelectBox.vue", "Vue", 197, 0, 0, 6, 18, 221
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Tab.vue", "Vue", 70, 0, 0, 2, 14, 86
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\TabContent.vue", "Vue", 47, 0, 0, 4, 7, 58
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\TabContents.vue", "Vue", 39, 0, 0, 1, 6, 46
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Tabs.vue", "Vue", 42, 0, 0, 3, 6, 51
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\TextForm.vue", "Vue", 161, 0, 0, 8, 13, 182
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Textarea.vue", "Vue", 131, 0, 0, 5, 10, 146
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\group\GroupCard.vue", "Vue", 74, 0, 0, 4, 10, 88
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\Options.vue", "Vue", 98, 0, 0, 8, 11, 117
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\PostContent.vue", "Vue", 131, 0, 0, 13, 13, 157
"c:\Users\ohs90430\Documents\GitHub\misoten\src\firebase\firebase.js", "JavaScript", 0, 16, 0, 3, 1, 20
"c:\Users\ohs90430\Documents\GitHub\misoten\src\main.js", "JavaScript", 0, 55, 0, 1, 6, 62
"c:\Users\ohs90430\Documents\GitHub\misoten\src\registerServiceWorker.js", "JavaScript", 0, 29, 0, 1, 3, 33
"c:\Users\ohs90430\Documents\GitHub\misoten\src\router\index.js", "JavaScript", 0, 147, 0, 16, 10, 173
"c:\Users\ohs90430\Documents\GitHub\misoten\src\scss\_variables.scss", "SCSS", 0, 0, 50, 8, 13, 71
"c:\Users\ohs90430\Documents\GitHub\misoten\src\store\index.js", "JavaScript", 0, 73, 0, 2, 3, 78
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Calendar.vue", "Vue", 96, 0, 0, 2, 6, 104
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\CompleteSignup.vue", "Vue", 42, 0, 0, 5, 7, 54
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\FirstAccess.vue", "Vue", 42, 0, 0, 5, 6, 53
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Group.vue", "Vue", 205, 0, 0, 47, 8, 260
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\NewFile.vue", "Vue", 24, 0, 0, 0, 7, 31
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\NotFound.vue", "Vue", 26, 0, 0, 0, 7, 33
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Post.vue", "Vue", 317, 0, 0, 35, 12, 364
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Video copy.vue", "Vue", 143, 0, 0, 2, 13, 158
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\Video.vue", "Vue", 180, 0, 0, 18, 24, 222
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\auth\Login.vue", "Vue", 101, 0, 0, 11, 8, 120
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\auth\Signup.vue", "Vue", 292, 0, 0, 26, 9, 327
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\group\GroupRoom.vue", "Vue", 109, 0, 0, 10, 6, 125
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\Coach.vue", "Vue", 27, 0, 0, 0, 6, 33
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\Config.vue", "Vue", 26, 0, 0, 0, 6, 32
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\Language.vue", "Vue", 26, 0, 0, 0, 6, 32
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\Profile.vue", "Vue", 26, 0, 0, 0, 6, 32
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\SetIcon.vue", "Vue", 135, 0, 0, 4, 8, 147
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\SetTarget.vue", "Vue", 386, 0, 0, 21, 24, 431
"c:\Users\ohs90430\Documents\GitHub\misoten\src\views\user\Title.vue", "Vue", 26, 0, 0, 0, 6, 32
"Total", "-", 5153, 320, 50, 341, 497, 6361
