"filename", "language", "Vue", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\ohs90430\Documents\GitHub\misoten\src\App.vue", "Vue", 380, 0, 0, 0, 43, 20, 443
"c:\Users\ohs90430\Documents\GitHub\misoten\src\NewRouterView.vue", "Vue", 28, 0, 0, 0, 0, 7, 35
"c:\Users\ohs90430\Documents\GitHub\misoten\src\algolia\algolia.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\ohs90430\Documents\GitHub\misoten\src\assets\tailwind.css", "CSS", 0, 0, 0, 3, 0, 0, 3
"c:\Users\ohs90430\Documents\GitHub\misoten\src\assets\workouts-diet-with-tool.js", "JavaScript", 0, 162, 0, 0, 26, 2, 190
"c:\Users\ohs90430\Documents\GitHub\misoten\src\assets\workouts-diet-without-tool.js", "JavaScript", 0, 107, 0, 0, 20, 2, 129
"c:\Users\ohs90430\Documents\GitHub\misoten\src\assets\workouts-training-with-tool.js", "JavaScript", 0, 567, 0, 0, 0, 1, 568
"c:\Users\ohs90430\Documents\GitHub\misoten\src\assets\workouts-training-without-tool.js", "JavaScript", 0, 495, 0, 0, 13, 2, 510
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\NewFile.vue", "Vue", 26, 0, 0, 0, 0, 5, 31
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\achievement\LineChart.vue", "Vue", 34, 0, 0, 0, 3, 4, 41
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\achievement\WorkoutRecords.vue", "Vue", 135, 0, 0, 0, 11, 8, 154
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\CreateGroupDialog.vue", "Vue", 145, 0, 0, 0, 1, 8, 154
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\CreatePostDialog.vue", "Vue", 627, 0, 0, 0, 39, 19, 685
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\CreateVideoRoomDialog.vue", "Vue", 92, 0, 0, 0, 1, 5, 98
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\MainMenu.vue", "Vue", 592, 0, 0, 0, 57, 47, 696
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\PlanDialog.vue", "Vue", 54, 0, 0, 0, 1, 11, 66
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\SearchContainer.vue", "Vue", 203, 0, 0, 0, 8, 13, 224
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\Snackbar.vue", "Vue", 111, 0, 0, 0, 1, 10, 122
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\app\UserMenu.vue", "Vue", 336, 0, 0, 0, 34, 16, 386
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Button.vue", "Vue", 177, 0, 0, 0, 3, 12, 192
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\CheckChipBox.vue", "Vue", 76, 0, 0, 0, 10, 7, 93
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Chip.vue", "Vue", 107, 0, 0, 0, 1, 8, 116
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Datepicker.vue", "Vue", 148, 0, 0, 0, 4, 10, 162
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Dialog.vue", "Vue", 240, 0, 0, 0, 26, 23, 289
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\DropZone.vue", "Vue", 190, 0, 0, 0, 10, 19, 219
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\ErrorMessage.vue", "Vue", 37, 0, 0, 0, 0, 5, 42
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\FixedBar.vue", "Vue", 161, 0, 0, 0, 8, 17, 186
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\FloatButton.vue", "Vue", 101, 0, 0, 0, 2, 9, 112
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\FormGroup.vue", "Vue", 42, 0, 0, 0, 2, 8, 52
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Header.vue", "Vue", 72, 0, 0, 0, 4, 8, 84
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\InputIcon.vue", "Vue", 96, 0, 0, 0, 5, 8, 109
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\LogoutDialog.vue", "Vue", 54, 0, 0, 0, 3, 5, 62
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\OfenUsedSample-FrormFirebase.vue", "Vue", 172, 0, 0, 0, 20, 8, 200
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\RadioButton.vue", "Vue", 152, 0, 0, 0, 6, 13, 171
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\RadioChipButton.vue", "Vue", 81, 0, 0, 0, 5, 6, 92
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Range.vue", "Vue", 233, 0, 0, 0, 13, 19, 265
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\SelectBox.vue", "Vue", 224, 0, 0, 0, 9, 18, 251
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Tab.vue", "Vue", 100, 0, 0, 0, 13, 18, 131
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\TabContent.vue", "Vue", 45, 0, 0, 0, 6, 7, 58
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\TabContents.vue", "Vue", 44, 0, 0, 0, 2, 6, 52
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Tabs.vue", "Vue", 74, 0, 0, 0, 15, 9, 98
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\TextForm.vue", "Vue", 187, 0, 0, 0, 10, 13, 210
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\Textarea.vue", "Vue", 143, 0, 0, 0, 5, 10, 158
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\common\UserCard.vue", "Vue", 92, 0, 0, 0, 2, 7, 101
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\group\GroupCard.vue", "Vue", 76, 0, 0, 0, 4, 10, 90
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\group\GroupRoomMessage.vue", "Vue", 74, 0, 0, 0, 0, 11, 85
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\group\SearchResultCard.vue", "Vue", 76, 0, 0, 0, 4, 10, 90
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\my-profile\Color.vue", "Vue", 149, 0, 0, 0, 18, 15, 182
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\my-profile\Title.vue", "Vue", 50, 0, 0, 0, 0, 7, 57
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\InputWeightDialog.vue", "Vue", 191, 0, 0, 0, 2, 9, 202
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\Options.vue", "Vue", 100, 0, 0, 0, 7, 11, 118
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\PostContent.vue", "Vue", 312, 0, 0, 0, 23, 17, 352
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\post\ReplyForm.vue", "Vue", 114, 0, 0, 0, 6, 11, 131
"c:\Users\ohs90430\Documents\GitHub\misoten\src\components\video\VideoRoomCard.vue", "Vue", 64, 0, 0, 0, 0, 6, 70
"c:\Users\ohs90430\Documents\GitHub\misoten\src\firebase\firebase.js", "JavaScript", 0, 17, 0, 0, 3, 1, 21
"c:\Users\ohs90430\Documents\GitHub\misoten\src\libs\bodyfixer.js", "JavaScript", 0, 15, 0, 0, 3, 2, 20
"c:\Users\ohs90430\Documents\GitHub\misoten\src\libs\scroll.js", "JavaScript", 0, 35, 0, 0, 0, 0, 35
"c:\Users\ohs90430\Documents\GitHub\misoten\src\libs\sleep.js", "JavaScript", 0, 2, 0, 0, 0, 1, 3
"c:\Users\ohs90430\Documents\GitHub\misoten\src\main.js", "JavaScript", 0, 70, 0, 0, 1, 7, 78
